id,name,username,url
1,Чат мамочек,malisch2025,https://web.telegram.org/k/#@malisch2025
2,Мамы Зеленоград,mamchatzelao,https://web.telegram.org/k/#@mamchatzelao
3,Чат беременных,beremennost_pregnancy,https://web.telegram.org/k/#@beremennost_pregnancy
4,Родители Москвы и М.О. за очное образование,roditelimoskvy,https://web.telegram.org/k/#@roditelimoskvy
5,МАМЫ 💙 МИТИНО • СЗАО | ЧАТ,mams_mitino,https://web.telegram.org/k/#@mams_mitino
6,Дети ЖК на улице Муромская,mirmitino_kids,https://web.telegram.org/k/#@mirmitino_kids
7,Продам/отдам детские вещи Красногорск,ArsDeti,https://web.telegram.org/k/#@ArsDeti
8,Мамы Красногорска ЧАТ,krasnogorsk_mammy_chat,https://web.telegram.org/k/#@krasnogorsk_mammy_chat
9,Мамы новая рига,mami_riga,https://web.telegram.org/k/#@mami_riga
10,Женская болталка,Jenskiy_Mamskiy,https://web.telegram.org/k/#@Jenskiy_Mamskiy
11,Главный чат Митино,mitino360,https://web.telegram.org/k/#@mitino360
12,Чат в Митино,mitino4,https://web.telegram.org/k/#@mitino4
13,МИТИНО • СЗАО | ЧАТ,chat_mitino,https://web.telegram.org/k/#@chat_mitino
14,БАРАХОЛКА ДЕТИ 💙 МИТИНО • СЗАО | ЧАТ,mitinodeti,https://web.telegram.org/k/#@mitinodeti
15,МИТИНО ♥️,pro_mitino_tg,https://web.telegram.org/k/#@pro_mitino_tg
16,Мир Митино,mirmitino_today,https://web.telegram.org/k/#@mirmitino_today
17,ЖК Митино Парк,mitino_park,https://web.telegram.org/k/#@mitino_park
18,Соседи Митино,sosedimitino,https://web.telegram.org/k/#@sosedimitino
19,ПРО ШКОЛЫ ЧАТ,proschoolmskchat,https://web.telegram.org/k/#@proschoolmskchat
20,ЖК Аристо,lo_aristovo2,https://web.telegram.org/k/#@lo_aristovo2
21,ЖК Пятницкие кварталы,AktivSaburovo,https://web.telegram.org/k/#@AktivSaburovo
22,ЖК Отрада Работа,rabotamockwa,https://web.telegram.org/k/#@rabotamockwa
23,ЧАТ СЗАО- ТУшино Митинл,chatszao,https://web.telegram.org/k/#@chatszao
24,Зеленоград объявления,zelenograd_adverts,https://web.telegram.org/k/#@zelenograd_adverts
25,Мамы Зеленограда,mamaZelenograd,https://web.telegram.org/k/#@mamaZelenograd
26,Мамочки,mamochkachat,https://web.telegram.org/k/#@mamochkachat
27,Августята,avgustyta2026,https://web.telegram.org/k/#@avgustyta2026
28,Клуб мам Зеленоград,mamaszelek,https://web.telegram.org/k/#@mamaszelek
29,Зелмамочки,zelemama,https://web.telegram.org/k/#@zelemama
30,Детские центры и спорт,saomoms,https://web.telegram.org/k/#@saomoms
31,СтрогиноМам и Пап,stroginomamipap,https://web.telegram.org/k/#@stroginomamipap
32,СтрогиноЧат,StroginoLifeChat,https://web.telegram.org/k/#@StroginoLifeChat
33,ТЬюторс Клаб,english_tutors_club,https://web.telegram.org/k/#@english_tutors_club
34,Чат Зеленоград,zelenogradru_chat,https://web.telegram.org/k/#@zelenogradru_chat
35,Красногорск,krasnogorsk_24_chat,https://web.telegram.org/k/#@krasnogorsk_24_chat
36,Барахолка Отрада,mvlotrada,https://web.telegram.org/k/#@mvlotrada
37,Барахолка ЖК Митино Парк,mitino_park_barakholka,https://web.telegram.org/k/#@mitino_park_barakholka
38,ЖК Лесная Отрада Соседи,lo_aristovo1,https://web.telegram.org/k/#@lo_aristovo1
39,Репетиторы - Ищу Репетитора,repetitor_repetitori,https://web.telegram.org/k/#@repetitor_repetitori
40,Учительска - репетиторы в телеграм,teachersrooms,https://web.telegram.org/k/#@teachersrooms
41,Родители Москвы,parentsofmoscow,https://web.telegram.org/k/#@parentsofmoscow
42,Заявки репетитор,offers_for_tutor,https://web.telegram.org/k/#@offers_for_tutor
43,Профиматика Вышмат,vyshmath_chat,https://web.telegram.org/k/#@vyshmath_chat
44,Детские праздники,detievent,https://web.telegram.org/k/#@detievent
45,бьюти Отрада,otrada_beauty,https://web.telegram.org/k/#/im?tgaddr=tg%3A%2F%2Fresolve%3Fdomain%3Dotrada_beauty%26post%3D12848
46,Родители Фили Кунцево,fili_deti,https://web.telegram.org/k/#@fili_deti
47,Мамочки СВАО,svaomommies,https://web.telegram.org/k/#@svaomommies
48,Репетиторы,repetitortut,https://web.telegram.org/k/#@repetitortut
49,Зеленоград барахолка,zelenograd_chat_msk,https://web.telegram.org/k/#@zelenograd_chat_msk
50,Event hunter - вся творческая работа в Москве,unabum,https://web.telegram.org/k/#@unabum
